anio,mes_nro,mes,jurisdiccion,apellido_nombre,cargo,asignacion_mensual,sac,otros,observaciones
2020,5,Mayo,Secretaría General,"Vitobello, Julio Fernando",Secretario,312646.43,,,
2020,5,Mayo,Secretaría Legal y Técnica,"Ibarra, Vilma Lidia",Secretario,312646.13,,,
2020,5,Mayo,Secretaría de Asuntos Estratégicos,"Beliz, Gustavo Osvaldo",Secretario,312646.43,,,
2020,6,Junio,Presidencia de la Nación,"Fernandez, Alberto Angel",Presidente,354694.00,,,
2020,6,Junio,Presidencia de la Nación,"Fernandez, Cristina Elisabet",Vice-presidente ,328419.00,,,
2020,6,Junio,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,312657.00,40000.00,,
2020,6,Junio,Del Interior,"De Pedro, Eduardo Enrique",Ministro,312647.00,40000.00,,
2020,6,Junio,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,312647.00,40000.00,,
2020,6,Junio,Defensa,"Rossi, Agustin Oscar",Ministro,312647.00,40000.00,,
2020,6,Junio,Economía,"Guzman, Martin Maximiliano",Ministro,312656.00,40000.00,,
2020,6,Junio,Desarrollo Productivo,"Kulfas, Matias Sebastian",Ministro,312647.00,43754.85,,
2020,6,Junio,"Agricultura, Ganadería y Pesca","Basterra, Luis Eugenio",Ministro,312656.00,40000.00,,
2020,6,Junio,Justicia y Derechos Humanos,"Losardo, Marcela",Ministro,312647.00,37788.96,,
2020,6,Junio,Desarrollo Social,"Arroyo, Daniel Fernando",Ministro,312647.00,40000.00,,
2020,6,Junio,"Trabajo, Empleo y Seguridad Social","Moroni, Claudio Omar",Ministro,312647.00,40000.00,,
2020,6,Junio,Salud,"Gonzalez Garcia, Gines Mario",Ministro,312647.00,40000.00,,
2020,6,Junio,Educación,"Trotta, Nicolas Alfredo",Ministro,312647.00,40000.00,,
2020,6,Junio,Cultura,"Bauer, Tristan",Ministro,312647.00,51209.00,, Se abona primera cuota del 1er Sac 2020 y el proporcional del SAC de Diciembre-2019 no abonado oportunamente 
2020,6,Junio,"Ciencia, Tecnología e Innovación","Salvarezza, Roberto Carlos",Ministro,312647.00,40000.00,,
2020,6,Junio,Obras Públicas,"Katopodis, Gabriel Nicolas",Ministro,312647.00,40000.00,,
2020,6,Junio,Desarrollo Territorial y Hábitat,"Bielsa, Maria Eugenia",Ministro,312647.00,40000.00,,
2020,6,Junio,Seguridad,"Frederic, Sabina Andrea",Ministro,312647.00,42786.00,,
2020,6,Junio,Transporte,"Meoni, Mario Andres",Ministro,312647.00,40000.00,,
2020,6,Junio,"Mujeres, Géneros y Diversidad","Gomez Alcorta, Elizabeth Victoria",Ministro,312647.00,40000.00,,
2020,6,Junio,Turismo y Deportes,"Lammens Nuñez, Matias Daniel",Ministro,312647.00,40000.00,,
2020,6,Junio,Ambiente y Desarrollo Sostenible,"Cabandie, Juan",Ministro,312647.00,37870.00,,
2020,6,Junio,Secretaría General,"Vitobello, Julio Fernando",Secretario,312647.00,37870.00,,
2020,6,Junio,Secretaría Legal y Técnica,"Ibarra, Vilma Lidia",Secretario,312647.00,37870.00,,
2020,6,Junio,Secretaría de Asuntos Estratégicos,"Beliz, Gustavo Osvaldo",Secretario,312647.00,37870.00,,
2020,7,Julio,Presidencia de la Nación,"Fernandez, Alberto Angel",Presidente,354694.00,,,
2020,7,Julio,Presidencia de la Nación,"Fernandez, Cristina Elisabet",Vice-presidente ,328419.00,,,
2020,7,Julio,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,312657.00,58164.00,,
2020,7,Julio,Del Interior,"De Pedro, Eduardo Enrique",Ministro,312647.00,58162.00,,
2020,7,Julio,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,312647.00,58161.54,,
2020,7,Julio,Defensa,"Rossi, Agustin Oscar",Ministro,312647.00,58162.00,,
2020,7,Julio,Economía,"Guzman, Martin Maximiliano",Ministro,312656.00,58164.00,,
2020,7,Julio,Desarrollo Productivo,"Kulfas, Matias Sebastian",Ministro,312647.00,56284.11,,
2020,7,Julio,"Agricultura, Ganadería y Pesca","Basterra, Luis Eugenio",Ministro,312656.00,58164.00,,
2020,7,Julio,Justicia y Derechos Humanos,"Losardo, Marcela",Ministro,312647.00,59267.06,,
2020,7,Julio,Desarrollo Social,"Arroyo, Daniel Fernando",Ministro,312647.00,58161.53,,
2020,7,Julio,"Trabajo, Empleo y Seguridad Social","Moroni, Claudio Omar",Ministro,312647.00,58162.00,,
2020,7,Julio,Salud,"Gonzalez Garcia, Gines Mario",Ministro,312647.00,58162.00,,
2020,7,Julio,Educación,"Trotta, Nicolas Alfredo",Ministro,312647.00,58162.00,,
2020,7,Julio,Cultura,"Bauer, Tristan",Ministro,312647.00,58162.00,,
2020,7,Julio,"Ciencia, Tecnología e Innovación","Salvarezza, Roberto Carlos",Ministro,312647.00,58162.00,,
2020,7,Julio,Obras Públicas,"Katopodis, Gabriel Nicolas",Ministro,312647.00,58162.00,,
2020,7,Julio,Desarrollo Territorial y Hábitat,"Bielsa, Maria Eugenia",Ministro,312647.00,58162.00,,
2020,7,Julio,Seguridad,"Frederic, Sabina Andrea",Ministro,312647.00,56769.00,,
2020,7,Julio,Transporte,"Meoni, Mario Andres",Ministro,312647.00,58162.00,,
2020,7,Julio,"Mujeres, Géneros y Diversidad","Gomez Alcorta, Elizabeth Victoria",Ministro,312647.00,16813.00,,Aguinaldo proporcional correspondiente a Diciembre 2019
2020,7,Julio,Turismo y Deportes,"Lammens Nuñez, Matias Daniel",Ministro,312647.00,58161.54,,
2020,7,Julio,Ambiente y Desarrollo Sostenible,"Cabandie, Juan",Ministro,312647.00,59226.00,,
2020,7,Julio,Secretaría General,"Vitobello, Julio Fernando",Secretario,312647.00,59226.00,,
